Transaction_ID,Date_of_Sale,Customer_Age,Customer_Gender,State,City,Product_Category,Carat,Diamond_Clarity,Diamond_Color,Price,Payment_Method,Discount_Applied
TX000001,2023-01-01 20:39:06,38,Male,Delhi,Ahmedabad,Bracelet,1.84,SI1,E,248012.55,Credit Card,8.74
TX000002,2023-01-01 03:25:51,49,Male,Tamil Nadu,Ahmedabad,Bracelet,1.46,SI1,F,136618.1,Debit Card,7.4
TX000003,2023-01-01 07:15:51,42,Female,Karnataka,Bengaluru,Necklace,1.42,VVS2,F,74834.08,Online,1.53
TX000004,2023-01-01 17:53:18,49,Male,Karnataka,Kolkata,Bracelet,2.69,VVS2,G,97156.65,Cash,6.45
TX000005,2023-01-01 12:38:42,31,Male,Karnataka,Kolkata,Necklace,1.37,VVS2,D,139359.39,Cash,14.35
TX000006,2023-01-01 04:54:21,52,Male,Tamil Nadu,Bengaluru,Ring,2.23,VVS2,E,116989.13,Debit Card,4.92
TX000007,2023-01-01 03:32:04,28,Male,West Bengal,Mumbai,Necklace,2.49,SI1,F,138407.22,Cash,3.2
TX000008,2023-01-01 09:06:25,45,Female,Delhi,Bengaluru,Ring,2.01,SI1,F,76407.02,Debit Card,13.3
TX000009,2023-01-01 01:33:12,39,Male,Tamil Nadu,Chennai,Ring,0.63,SI2,E,195773.79,Online,3.83
TX000010,2023-01-01 15:56:55,46,Male,Gujarat,Bengaluru,Necklace,0.88,VVS2,D,102907.95,Credit Card,0.41
TX000011,2023-01-01 00:03:12,37,Female,Tamil Nadu,Mumbai,Bracelet,2.66,SI1,F,108227.04,Credit Card,13.57
TX000012,2023-01-01 03:45:54,58,Female,West Bengal,Chennai,Necklace,2.98,SI1,G,249820.95,Credit Card,11.0
TX000013,2023-01-01 06:16:41,56,Male,Delhi,Ahmedabad,Bracelet,2.82,VVS1,E,346059.97,Debit Card,7.7
TX000014,2023-01-01 11:26:22,52,Female,West Bengal,Ahmedabad,Ring,1.77,SI1,G,280453.03,Debit Card,0.59
TX000015,2023-01-01 19:15:09,59,Female,Karnataka,Bengaluru,Ring,1.37,SI1,E,318848.46,Credit Card,6.67
TX000016,2023-01-01 12:55:44,55,Female,Maharashtra,Ahmedabad,Earring,1.07,VVS2,E,448198.97,Online,4.33
TX000017,2023-01-01 16:40:21,34,Male,Delhi,Delhi,Necklace,0.51,VVS1,G,95333.06,Online,7.94
TX000018,2023-01-01 21:31:32,50,Male,Maharashtra,Ahmedabad,Bracelet,2.64,SI1,E,314987.93,Online,19.68
TX000019,2023-01-01 14:35:32,58,Male,Delhi,Chennai,Earring,2.5,SI1,D,304228.19,Cash,22.83
TX000020,2023-01-01 10:06:10,59,Female,Gujarat,Bengaluru,Ring,1.81,VVS1,G,67005.5,Debit Card,11.53
TX000021,2023-01-01 02:13:27,44,Male,West Bengal,Kolkata,Ring,2.48,VVS2,D,293276.88,Credit Card,10.16
TX000022,2023-01-01 12:08:34,27,Male,Delhi,Ahmedabad,Ring,2.79,SI1,G,245799.62,Debit Card,6.77
TX000023,2023-01-01 04:54:25,46,Female,Maharashtra,Kolkata,Necklace,2.9,SI1,E,180854.04,Online,10.25
TX000024,2023-01-01 13:08:07,40,Male,West Bengal,Kolkata,Bracelet,2.95,VVS2,D,97104.86,Debit Card,0.26
TX000025,2023-01-01 10:36:51,56,Female,West Bengal,Delhi,Earring,2.21,VVS2,E,286046.36,Online,6.93
TX000026,2023-01-01 07:27:53,55,Female,Gujarat,Kolkata,Necklace,1.96,SI2,F,179175.64,Debit Card,7.42
TX000027,2023-01-01 02:48:44,28,Female,West Bengal,Kolkata,Earring,2.73,VVS1,E,294414.95,Cash,0.63
TX000028,2023-01-01 01:34:32,44,Male,Gujarat,Ahmedabad,Ring,1.25,SI2,F,239124.02,Credit Card,8.72
TX000029,2023-01-01 01:17:36,29,Female,West Bengal,Bengaluru,Earring,2.74,SI2,D,158088.01,Cash,1.32
TX000030,2023-01-01 03:29:53,47,Male,Karnataka,Kolkata,Earring,0.57,VVS1,F,63329.92,Debit Card,2.25
TX000031,2023-01-01 21:41:42,41,Female,Delhi,Mumbai,Ring,2.59,VVS2,F,293057.44,Cash,11.26
TX000032,2023-01-01 02:48:39,63,Male,Maharashtra,Ahmedabad,Ring,2.06,SI2,D,247721.07,Cash,10.71
TX000033,2023-01-01 01:21:51,47,Male,Delhi,Ahmedabad,Ring,2.68,VVS1,G,156697.05,Online,9.97
TX000034,2023-01-01 10:36:53,35,Female,West Bengal,Ahmedabad,Necklace,1.87,VVS1,G,172047.78,Cash,13.83
TX000035,2023-01-01 05:17:02,55,Female,Tamil Nadu,Bengaluru,Bracelet,2.73,SI2,D,154001.26,Online,3.52
TX000036,2023-01-01 11:21:23,28,Male,Maharashtra,Chennai,Earring,1.25,SI1,D,158126.75,Credit Card,8.18
TX000037,2023-01-01 18:19:00,57,Female,Delhi,Chennai,Bracelet,2.67,SI1,E,158376.22,Online,22.28
TX000038,2023-01-01 20:48:56,63,Male,Gujarat,Ahmedabad,Ring,2.88,VVS2,D,198008.02,Cash,5.76
TX000039,2023-01-01 19:25:11,57,Female,Karnataka,Bengaluru,Ring,1.1,VVS2,E,133402.13,Debit Card,13.53
TX000040,2023-01-01 12:01:27,60,Male,Tamil Nadu,Ahmedabad,Necklace,2.24,VVS2,F,191201.51,Credit Card,3.57
TX000041,2023-01-01 19:38:21,36,Female,West Bengal,Mumbai,Ring,1.87,SI2,E,115353.29,Credit Card,2.29
TX000042,2023-01-01 23:21:42,62,Male,West Bengal,Chennai,Bracelet,1.9,VVS1,F,70151.23,Online,14.24
TX000043,2023-01-01 20:45:26,40,Female,Gujarat,Kolkata,Earring,1.98,VVS1,E,56376.42,Debit Card,11.72
TX000044,2023-01-01 10:22:50,32,Male,West Bengal,Kolkata,Bracelet,2.15,VVS1,E,354240.7,Cash,11.59
TX000045,2023-01-01 02:25:43,49,Female,Gujarat,Kolkata,Bracelet,2.8,SI1,F,329839.68,Debit Card,10.51
TX000046,2023-01-01 07:31:14,37,Female,Maharashtra,Delhi,Earring,0.97,SI2,F,142389.47,Online,2.09
TX000047,2023-01-01 06:02:41,31,Female,Tamil Nadu,Ahmedabad,Bracelet,1.61,SI2,F,60851.87,Debit Card,6.25
TX000048,2023-01-01 17:17:35,51,Male,Karnataka,Bengaluru,Earring,1.13,VVS1,G,336913.17,Debit Card,11.04
TX000049,2023-01-01 07:14:29,62,Female,Maharashtra,Delhi,Earring,2.93,VVS1,D,151854.18,Debit Card,11.22
TX000050,2023-01-01 19:29:36,48,Male,Delhi,Kolkata,Bracelet,2.28,VVS1,E,75533.91,Cash,4.46
TX000051,2023-01-01 03:55:57,57,Male,West Bengal,Bengaluru,Necklace,1.27,SI2,F,131770.45,Cash,24.37
TX000052,2023-01-01 14:11:18,48,Male,Karnataka,Delhi,Ring,2.86,VVS1,F,176795.67,Debit Card,12.91
